PETUSE,49333.0,14333.0
VELVSE,50227.0,14227.0
DOLKOU,49039.0,16039.0
DRITEN,49085.0,14085.0
KOSNOR,50073.0,16073.0
VALTIC,48443.0,16443.0
SINDEL,50181.0,12181.0
STENOV,49401.0,13401.0
CHYSE,50063.0,13063.0
HOLVPO,50225.0,15225.0
ROKVOR,50099.0,16099.0
SLATIN,49550.0,15550.0
DOMSIC,50140.0,13140.0
KRHUHR,49060.0,16060.0
TREBON,49001.0,14001.0
HOSTIV,50048.0,14048.0
KACERO,49523.0,13523.0
ZIDLCH,49021.0,16021.0
BOZEJO,49216.0,15216.0
MECUPR,49264.0,13264.0
MNIHRA,50317.0,14317.0
BECNTE,50051.0,12051.0
OSTNOH,50180.0,12180.0
VRALHO,49427.0,16427.0
PETURA,50040.0,13040.0
SMIRIC,50179.0,15179.0
SUCUPR,49419.0,14419.0
MORURO,49506.0,15506.0
CHVALK,49108.0,17108.0
CHVVCE,50249.0,15249.0
DALESI,49077.0,16077.0
TRNUJI,49549.0,14549.0
NACHOD,50251.0,16251.0
BRANKY,49276.0,17276.0
BORUTA,49426.0,12426.0
KREMYZ,50362.0,13362.0
PROSEC,49244.0,15244.0
KRALV,50460.0,13460.0
LEDNIC,49565.0,13565.0
SKRIVN,50014.0,13014.0
KNEUTR,49160.0,15160.0
ROSUBR,49110.0,16110.0
CASLCE,49094.0,15094.0
HRIMEZ,49412.0,14412.0
SKALSK,50255.0,14255.0
SUCHOM,49537.0,14537.0
DYJE,48507.0,16507.0
SNEHOV,50388.0,15388.0
VESUDR,50096.0,13096.0
VLASTI,50298.0,13298.0
LIBULI,50341.0,14341.0
MORBUD,49031.0,15031.0
DOLKRU,49108.0,13108.0
GRABST,50508.0,14508.0
RADUVI,49488.0,17488.0
DOMANI,49315.0,16315.0
HATIN,49059.0,14059.0
LSTNZU,49290.0,13290.0
TERESO,49536.0,13536.0
CEMINY,49479.0,13479.0
OSVRAC,49307.0,13307.0
ODLOCH,49375.0,14375.0
SVOUSU,49144.0,13144.0
CHOTES,49391.0,13391.0
JANULI,49500.0,16500.0
KLAUVI,49485.0,15485.0
TVORSO,49449.0,14449.0
BIVOJA,50263.0,16263.0
CESOLE,49114.0,15114.0
FILUCA,49538.0,15538.0
BRANIS,48576.0,16576.0
DOKSYZ,50338.0,14338.0
BUSOVI,49479.0,13479.0
HOSTLY,50067.0,17067.0
KVETOV,49251.0,14251.0
MILETI,50242.0,15242.0
OSEURA,49189.0,13189.0
PNOVAN,49466.0,13466.0
KOSATK,50190.0,14190.0
TYNNVL,49134.0,14134.0
ZBOZI,49431.0,15431.0
HORSOV,49320.0,12320.0
ZBRASL,49487.0,15487.0
BARTOS,49402.0,18402.0
BYNOVE,50494.0,14494.0
BYSUPO,49378.0,16378.0
SVENSA,49400.0,15400.0
RUDUCE,48593.0,14593.0
VEROVA,49284.0,17284.0
ZNOJMO,48513.0,16513.0
HRUNJE,48500.0,16500.0
NOVSU,50205.0,13205.0
VELORE,49065.0,17065.0
MORKRU,49029.0,16029.0
BRTNIC,49183.0,15183.0
HREBEC,49591.0,13591.0
STRVPO,49125.0,13125.0
HORMAR,50397.0,15397.0
RITKA,49537.0,14537.0
MILUKY,48576.0,17576.0
VELBRE,50396.0,14396.0
LHORAP,49289.0,16289.0
BLUDOV,49564.0,16564.0
PRSTIC,49071.0,16071.0
VERUSI,50085.0,13085.0
UHEUZN,48549.0,15549.0
VLASIM,49423.0,14423.0
KRIMIC,49454.0,13454.0
SUKORA,50317.0,14317.0
VIZOVI,49131.0,17131.0
RYCHVA,49518.0,18518.0
OSECAN,49418.0,14418.0
BILICH,50154.0,13154.0
